Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.002277540497798176,-1.466445841265319,0.046099448175229554,0.00683346121315139,1.466445841265319,0.046099448175229596
ENSG00000237491,AL669831.5,0.04164645481688094,-0.5341699272368876,0.14469823964551776,0.06042218335839124,0.5341699272368876,0.14469823964551776
ENSG00000177757,FAM87B,0.0003253629282568823,-2.6039493650152545,0.018173478301664655,0.0035965585332375736,2.6039493650152545,0.018173478301664655
ENSG00000225880,LINC00115,0.03806746260605523,-0.20438920235535551,0.6712480010531318,0.043878014105498395,0.20438920235535551,0.6712480010531318
ENSG00000230368,FAM41C,0.01268915420201841,-0.2820212701278919,0.654044831147038,0.015465201692921567,0.2820212701278919,0.654044831147038
ENSG00000230699,AL645608.3,0.0003253629282568823,0.8554822536220428,1.0,0.0,-0.8554822536220428,1.0
ENSG00000187634,SAMD11,0.0003253629282568823,0.8554822536220428,1.0,0.0,-0.8554822536220428,1.0
ENSG00000188976,NOC2L,0.22417505756899192,0.37005542645180123,0.26248818900808013,0.17335412130205105,-0.37005542645180123,0.26248818900807963
ENSG00000187961,KLHL17,0.013014517130275292,-0.10889383664723518,0.9327299855168532,0.014026578279626537,0.10889383664723518,0.9327299855168532
ENSG00000187583,PLEKHN1,0.006181895636880764,0.2705197529008867,0.8203681146205077,0.005035181946532603,-0.2705197529008867,0.8203681146205077
ENSG00000187642,PERM1,0.0003253629282568823,-0.14451774637795722,1.0,0.00035965585332375737,0.14451774637795722,1.0
ENSG00000272512,AL645608.8,0.003904355139082588,-2.466445841265319,2.9252744255203776e-07,0.02301797461272047,2.466445841265319,2.9252744255203776e-07
ENSG00000188290,HES4,0.04034500310385341,-2.353659144216549,4.245982625907708e-15,0.207521427367808,2.353659144216549,4.245982625907708e-15
ENSG00000187608,ISG15,0.8524508720330316,-0.1744785086910004,0.654044831147038,0.9620794076410509,0.1744785086910004,0.654044831147038
ENSG00000188157,AGRN,0.0035789922108257054,-1.417536240784373,0.024743686489113435,0.010070363893065206,1.417536240784373,0.024743686489113435
ENSG00000273443,AL645608.9,0.0003253629282568823,0.8554822536220428,1.0,0.0,-0.8554822536220428,1.0
ENSG00000237330,RNF223,0.0003253629282568823,0.8554822536220428,1.0,0.0,-0.8554822536220428,1.0
ENSG00000131591,C1orf159,0.02114859033669735,-0.40390437519660605,0.4376956010758687,0.028053156559253074,0.40390437519660605,0.4376956010758687
ENSG00000223823,LINC01342,0.0003253629282568823,0.8554822536220428,1.0,0.0,-0.8554822536220428,1.0
ENSG00000205231,TTLL10-AS1,0.0013014517130275293,2.1774103485094045,0.473312313716699,0.0,-2.1774103485094045,0.473312313716699
ENSG00000162571,TTLL10,0.00422971806733947,2.6628371756796465,0.03816728574171971,0.00035965585332375737,-2.6628371756796465,0.03816728574171971
ENSG00000186891,TNFRSF18,0.09240307162495458,5.010300362674147,5.574798664127577e-28,0.0025175909732663014,-5.010300362674147,5.574798664127577e-28
ENSG00000186827,TNFRSF4,0.12168573516807399,5.236304037562974,4.5102864569734983e-35,0.002877246826590059,-5.236304037562974,4.5102864569734983e-35
ENSG00000078808,SDF4,0.30063534570935924,-0.07092754611768659,0.9027133405763174,0.31577783921825897,0.07092754611768659,0.9027133405763174
